x,A,B,C,D,A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3
1.00,0.00,0.00,5.00,4.00,0.39,0.41,4.24,3.02,1.15,-0.08,4.44,2.56,0.58,-1.01,4.80,1.81
2.00,1.00,1.00,6.00,3.00,1.56,0.94,5.68,3.39,1.30,1.49,6.42,4.19,0.81,2.09,7.36,4.36
3.00,2.00,2.00,7.00,2.00,2.70,2.38,6.21,1.28,3.33,3.34,6.48,2.25,3.86,2.99,6.86,3.07
4.00,3.00,3.00,6.00,3.00,3.27,3.63,6.76,2.86,4.21,3.63,6.25,1.90,4.25,2.84,6.90,2.25
5.00,3.50,4.00,5.00,4.00,2.85,4.20,4.66,3.59,2.58,3.58,3.94,2.95,2.73,2.94,4.67,2.73
6.00,3.60,4.00,6.00,3.00,3.40,3.66,5.20,3.60,4.30,4.06,4.39,3.26,5.27,3.57,5.32,3.20
7.00,3.70,3.00,7.00,2.00,3.70,2.67,6.30,3.00,3.95,2.85,6.42,3.41,4.84,2.26,6.55,2.91
8.00,4.00,2.00,6.00,3.00,4.00,2.97,6.66,2.48,3.96,2.89,6.03,2.35,4.44,2.21,6.28,1.74
9.00,5.00,1.00,5.00,4.00,5.63,0.25,4.86,3.79,4.90,-0.35,4.10,3.84,4.44,-0.30,4.65,3.48
10.00,6.00,0.00,6.00,3.00,5.19,0.58,6.06,3.34,5.44,1.13,6.96,4.33,4.51,0.65,6.07,4.54
11.00,6.50,0.00,7.00,2.00,6.20,0.37,6.41,1.68,6.13,0.55,5.96,2.33,5.64,1.43,6.20,1.71
12.00,6.60,1.00,6.00,3.00,6.51,1.54,5.66,3.74,6.98,1.68,5.40,4.38,6.70,0.98,5.70,4.22
13.00,6.70,2.00,5.00,4.00,6.12,2.88,4.76,4.31,6.78,3.30,3.95,3.52,6.46,3.85,4.54,2.71
14.00,5.00,3.00,6.00,3.00,5.16,2.70,6.47,3.16,4.56,1.86,5.68,3.06,4.39,2.09,5.98,2.97
15.00,4.00,4.00,7.00,2.00,3.87,4.70,6.14,1.82,3.81,4.71,6.05,1.12,2.99,5.55,6.24,1.19
16.00,3.00,4.00,6.00,3.00,3.51,3.46,5.90,3.56,3.89,3.44,5.28,3.94,3.54,2.73,5.52,4.16
17.00,2.00,3.00,5.00,4.00,2.33,3.89,5.65,3.88,2.80,3.15,6.34,4.39,2.40,2.71,5.77,4.91
18.00,1.20,2.00,6.00,3.00,1.41,1.26,5.06,2.06,1.86,0.36,5.61,2.37,1.82,1.02,4.83,1.97
19.00,0.60,1.00,7.00,2.00,0.95,1.27,7.86,1.97,0.46,1.06,6.94,2.13,-0.52,0.98,6.80,1.40
20.00,0.10,0.00,6.00,3.00,0.72,0.85,5.48,3.61,0.20,0.30,6.14,3.24,0.80,-0.61,5.53,2.40
