x,A,B,C,D,E,A1,B1,C1,D1,E1,A1,B1,C1,D1,E1,A1,B1,C1,D1,E1,A1,B1,C1,D1,E1
1.00,0.00,0.00,5.00,4.00,6.00,-0.76,-0.56,5.36,4.49,6.61,-0.18,-1.24,6.17,4.27,6.45,-0.52,-0.61,6.83,4.11,6.95,-0.92,-0.55,7.24,5.02,6.36
2.00,1.00,1.00,6.00,3.00,5.00,0.16,1.50,6.46,2.47,4.88,-0.30,1.55,5.71,1.58,4.49,-1.19,0.68,6.44,1.05,3.60,-1.97,-0.04,6.13,1.39,3.39
3.00,2.00,2.00,7.00,2.00,1.00,2.61,1.43,7.01,1.10,1.13,2.60,1.45,6.40,1.37,1.24,1.70,1.76,5.49,0.71,2.13,1.13,1.30,4.51,0.54,2.18
4.00,3.00,3.00,6.00,3.00,1.00,3.77,2.53,5.93,2.60,0.15,3.10,3.18,6.22,2.86,0.90,2.68,4.09,5.32,3.69,1.88,2.93,4.57,4.80,3.69,1.97
5.00,3.50,4.00,5.00,4.00,2.00,2.90,3.72,5.29,4.33,2.54,2.93,4.12,4.49,4.68,2.67,3.01,3.88,4.12,4.67,3.31,2.97,3.80,4.00,5.41,3.85
6.00,3.60,4.00,6.00,3.00,1.00,3.87,4.58,5.05,3.03,1.73,4.74,4.72,5.95,3.86,1.21,4.62,4.59,5.20,4.45,0.74,4.07,4.87,4.81,3.69,0.09
7.00,3.70,3.00,7.00,2.00,2.00,3.93,3.11,7.28,1.98,1.54,3.81,4.06,6.44,1.19,2.39,3.63,4.28,6.06,1.68,2.77,2.84,4.88,7.03,2.35,2.40
8.00,4.00,2.00,6.00,3.00,4.00,3.45,1.40,5.74,3.32,4.37,3.61,2.07,6.01,4.20,3.93,2.85,2.67,5.46,4.55,2.99,3.00,3.67,6.45,4.78,2.89
9.00,5.00,1.00,5.00,4.00,3.00,5.01,0.17,4.70,3.90,2.36,5.96,0.03,4.50,3.71,2.81,5.74,-0.81,5.38,4.62,3.61,4.91,-0.78,5.67,5.25,4.37
10.00,6.00,0.00,6.00,3.00,2.00,6.15,-0.17,6.16,2.79,2.13,6.43,-0.34,6.78,2.51,2.87,7.09,-0.23,6.82,1.74,2.18,6.31,-0.48,7.41,0.75,2.36
11.00,6.50,0.00,7.00,2.00,3.00,6.91,-0.07,7.63,1.56,2.07,7.60,0.01,7.37,1.20,2.69,6.74,-0.32,6.44,1.17,2.74,6.18,-0.95,6.71,0.23,3.27
12.00,6.60,1.00,6.00,3.00,2.00,5.89,1.31,6.98,3.62,2.32,5.03,2.00,7.35,3.68,2.34,5.49,1.84,7.37,3.07,2.81,5.58,2.70,7.28,3.03,1.85
13.00,6.70,2.00,5.00,4.00,4.00,6.65,2.63,5.12,4.92,3.21,6.61,2.35,4.33,4.74,3.65,5.98,1.82,3.97,5.32,3.11,6.64,1.61,3.27,4.99,3.26
14.00,5.00,3.00,6.00,3.00,5.00,4.76,3.84,6.80,2.57,5.45,4.46,4.16,6.72,2.68,5.51,5.44,4.30,7.13,1.79,6.37,6.42,3.81,7.23,2.14,7.33
15.00,4.00,4.00,7.00,2.00,6.00,4.03,4.48,6.90,1.11,5.56,3.89,5.18,6.79,1.35,4.92,3.90,4.79,7.39,1.39,5.41,2.98,3.79,7.70,0.80,5.60
16.00,3.00,4.00,6.00,3.00,7.00,3.41,3.39,6.48,3.46,6.25,3.50,4.27,6.36,3.54,5.50,3.32,3.43,6.45,2.94,5.45,4.14,2.67,5.50,3.05,4.94
17.00,2.00,3.00,5.00,4.00,8.00,2.88,2.37,5.22,4.17,7.47,2.59,3.27,5.76,4.47,6.87,2.15,2.38,6.63,4.41,7.07,2.53,1.77,7.35,4.04,6.56
18.00,1.20,2.00,6.00,3.00,7.00,2.08,1.97,6.32,2.56,7.26,2.14,1.75,5.34,2.84,6.42,2.81,1.03,5.46,2.96,7.11,3.31,0.26,5.39,1.96,6.66
19.00,0.60,1.00,7.00,2.00,8.00,1.22,1.38,6.16,1.41,8.64,0.54,1.02,6.55,1.06,7.80,0.95,1.93,6.18,0.40,8.65,0.00,2.14,7.02,-0.24,8.46
20.00,0.10,0.00,6.00,3.00,7.00,-0.74,0.61,6.95,3.92,7.39,-0.05,0.67,7.83,4.18,8.23,0.04,0.36,8.67,4.81,8.71,0.76,1.30,8.50,4.36,9.60
